symbol,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,operating_cash_flow,beta,dividend_yield,sector,industry,company_name,country,volatility_30d,volatility_90d,max_drawdown,sharpe_ratio,return_1m,return_3m,return_6m,return_1y,sector_category,pe_ratio_sector_rank,profit_margin_sector_rank,revenue_growth_sector_rank,roe_sector_rank,beta_sector_rank,peg_ratio_calculated,quality_score_raw,value_score_raw,growth_score_raw,momentum_score_raw,altman_z_score,financial_health,is_profitable,profitability_status,risk_score,risk_category,quality_score,value_score,growth_score,momentum_score,composite_score
ABBV,223.43,394886709248,458107748352.0,94.27426,13.97461,,-149.45149,6.456617,7.49,15.573,0.0691,0.34956002,0.71645,11.066669,,0.1,,,,,,,0.334,2.98,Healthcare,Drug Manufacturers - General,AbbVie Inc.,United States,28.786746016656885,27.40973928088512,-21.91545874806983,0.8782516265580641,0.4897419908908906,2.8249006525786102,14.54245739343165,19.668977060332573,healthcare,93.33333333333331,33.33333333333333,66.66666666666666,100.0,20.0,,57.87679216725208,45.25216200902469,44.2222169499945,46.904876251646215,8.11433237972549,Low Risk,True,Profitable,4.0,Medium Risk,87.29003807273973,55.05032971839635,54.10601164983855,50.17564925380194,61.65550717369414
ABT,110.83,192895074304,198271172608.0,29.79301,17.75294,,3.7822068,4.35154,4.473,17.252,0.14718,0.22026,0.56714,0.13158,,0.044,-0.808,25.31,,,,,0.751,2.27,Healthcare,Medical Devices,Abbott Laboratories,United States,33.4738605698912,24.41758878255226,-33.8767572951698,-0.0088331775615456,-11.720228910910825,-10.85120845142752,-16.676532380534816,-11.940744825104598,healthcare,60.0,60.0,13.333333333333334,40.0,86.66666666666667,,45.279941522361376,43.5020278593808,20.80797343187532,29.059621456817823,1.4242524707740918,High Risk,True,Profitable,6.502,High Risk,53.74594117026204,52.815791057056906,10.732197687625678,29.83754058228285,36.78286762430687
ADBE,268.38,112343867392,110228987904.0,16.080288,10.172236,0.9349004651162792,9.536297,4.726487,4.638,11.927,0.29997,0.36503,0.89268,0.55426,0.18221001,0.105,0.172,57.266,0.996,0.877,8805874688.0,10030999552.0,1.515,,Technology,Software - Application,Adobe Inc.,United States,35.80295856601459,31.762771621599967,-61.012245335137735,-0.2209847213203067,-20.8411992334961,-18.014357758116383,-21.30772189156913,-38.36012663183008,tech,6.25,68.42105263157895,36.84210526315789,78.94736842105263,84.21052631578947,0.9349004651162792,49.69195847624777,59.22702420056567,28.49041967709328,18.5813735333982,3.989358319784901,Low Risk,True,Highly Profitable,8.03,High Risk,65.49468126480048,72.89317328569854,24.963577572135875,17.89555671016763,45.31174720820063
AMAT,322.51,255983124480,254209163264.0,37.15553,26.433882,2.793648872180451,12.52758,9.023658,8.961,28.416,0.24669,0.28441,0.48675,0.35508,0.15045999,-0.035,0.133,34.533,2.61,1.72,3653250048.0,7958000128.0,1.677,0.57,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc.",United States,53.6297442391218,47.10451900165621,-55.139208904731554,0.7056683603279481,14.511430546616122,38.372879931175,75.29526315003756,78.19386290548853,tech,62.5,52.63157894736842,10.526315789473683,68.42105263157895,89.47368421052632,2.793648872180451,45.71078131108293,20.494779922069227,34.933458458495295,75.9867316436402,4.352902425353906,Low Risk,True,Highly Profitable,8.354,High Risk,54.89322250507573,23.440565725098217,36.89901188328898,83.32003089094096,49.63820775110097
AMD,208.44,339842859008,333296828416.0,79.862076,19.75128,0.3678584799631506,5.393014,9.810989,9.622,49.414,0.12515001,0.17059,0.52493,0.07082,0.032,0.341,2.171,6.359,2.85,1.784,4587250176.0,7709000192.0,1.949,,Technology,Semiconductors,"Advanced Micro Devices, Inc.",United States,72.95382905739201,76.4134430954758,-65.44994295506883,0.5337484903014169,1.837018712220173,-12.309631839501932,20.65293416825067,89.21568220054559,tech,93.75,26.31578947368421,94.73684210526316,26.31578947368421,100.0,0.3678584799631506,38.45088077878378,35.00173208276691,68.99691211940176,44.09654465316561,2.92405751970482,Medium Risk,True,Profitable,8.898,High Risk,35.5608660436957,41.9627718473414,100.0,46.97501390887474,56.12466294997796
AMGN,384.32,207148482560,252623486976.0,27.026724,16.604525,0.2421749462365591,23.925793,5.63654,6.874,14.804,0.20982,0.28218,0.70783997,1.0610299,0.081520006,0.086,1.116,630.677,1.14,0.734,7599750144.0,9957999616.0,0.472,2.51,Healthcare,Drug Manufacturers - General,Amgen Inc.,United States,36.10771036414131,31.519636727968752,-24.85995456410312,0.5709124407942485,16.421806179211252,22.64682434331533,35.3783675151206,33.26272350006927,healthcare,46.66666666666666,66.66666666666666,46.66666666666666,86.66666666666667,53.333333333333336,0.2421749462365591,39.19144063364838,56.90921405435232,43.20684262452931,68.73984031667595,6.072779572558178,Low Risk,True,Highly Profitable,6.0,Medium Risk,37.532899549049546,69.93383649290901,52.2250772066372,75.06080091451038,58.688153540776526
AXP,359.15,247401070592,256342900736.0,23.36695,17.912058,1.4248140243902436,7.3602343,3.694042,3.828,,0.16174999,0.17591,0.5901,0.33992,0.03791,0.106,0.164,172.546,1.775,1.759,,,1.128,0.91,Financial Services,Credit Services,American Express Company,United States,24.99981902118052,26.56160731417075,-31.545914507060324,0.8300758368511261,-6.222261320759759,-1.581000926768561,21.325989007222155,13.375593870337132,finance,76.92307692307693,38.46153846153847,46.15384615384615,84.61538461538461,61.53846153846154,1.4248140243902436,44.98719846338594,49.58481418047396,34.16817616357243,40.506785058839824,3.06089822010246,Low Risk,True,Highly Profitable,7.256,High Risk,52.96639699572009,60.582179254164615,35.481361474772775,42.88379069164255,47.97843210407501
BA,243.03,190862901248,218578911232.0,97.995964,48.3333,,35.0036,2.1334283,2.443,-67.504,0.02498,-0.03178,0.04828,2.90084,-0.019989999,0.571,,1032.894,1.188,0.377,1761750016.0,1065000000.0,1.14,,Industrials,Aerospace & Defense,The Boeing Company,United States,24.9290533286771,31.860381050761973,-56.95976835708434,0.2041889521780277,6.882748509285186,23.679388691754145,6.07105619699182,31.50973742745573,industrials,100.0,8.333333333333332,100.0,100.0,41.66666666666667,,28.211005380367894,28.524758741169443,65.98261277075308,57.84820789710997,5.084094144183777,Low Risk,True,Marginally Profitable,7.279999999999999,High Risk,8.293147919794713,33.693093009745176,94.41614848357015,62.64768570230456,49.76251877885365
BAC,56.53,412810084352,222676615168.0,14.83727,11.40251,0.7099172248803828,1.4705652,3.8428822,2.073,,0.28401,0.35559,0.0,0.1019,0.00915,0.132,0.209,,,,,,1.273,1.95,Financial Services,Banks - Diversified,Bank of America Corporation,United States,23.3462015816522,21.69922406057232,-46.64293940294261,0.5540983638606672,0.6229947885721954,6.631203043036793,24.190039001823504,21.15473321023007,finance,23.07692307692308,76.92307692307693,61.53846153846154,30.76923076923077,84.61538461538461,0.7099172248803828,40.79337738801402,64.16734069946015,36.51908021805257,49.16859414687018,3.64373131372549,Low Risk,True,Highly Profitable,5.545999999999999,Medium Risk,41.79868972430077,79.20087730843254,39.83630358610452,52.75559227417674,53.39786572325364
BLK,1056.38,163898327040,172625543168.0,29.942745,17.042736,,2.9516068,6.768183,7.129,17.846,0.22930999,0.35103,0.49752,0.10686,,0.234,-0.327,24.32,,,,,1.488,1.97,Financial Services,Asset Management,"BlackRock, Inc.",United States,31.84867014557376,26.356864632269385,-43.90169065571778,0.4362781818336436,-2.899113702154154,-0.7403868707786865,-5.194500012050806,7.09449609360111,finance,84.61538461538461,53.84615384615385,84.61538461538461,38.46153846153847,100.0,,49.91562146340888,41.659197730966376,35.05557791509667,40.881154036894216,1.733800520756268,High Risk,True,Highly Profitable,7.976,High Risk,66.09027242693536,50.46289989779287,37.12523258470501,43.31045632609021,49.24721530888086
