symbol,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,operating_cash_flow,beta,dividend_yield,sector,industry,company_name,country,volatility_30d,volatility_90d,max_drawdown,sharpe_ratio,return_1m,return_3m,return_6m,return_1y,sector_category,pe_ratio_sector_rank,profit_margin_sector_rank,revenue_growth_sector_rank,roe_sector_rank,beta_sector_rank,peg_ratio_calculated,quality_score_raw,value_score_raw,growth_score_raw,momentum_score_raw,altman_z_score,financial_health,is_profitable,profitability_status,risk_score,risk_category,quality_score,value_score,growth_score,momentum_score,composite_score
ADP,231.36,93573259264,95208996864.0,22.224785,19.337431,1.93259,14.583963,4.4108577,4.488,15.385,0.19964,0.26283002,0.48351002,0.73843,0.04709,0.062,0.115,70.044,1.032,0.081,3457787392.0,4740199936.0,0.847,2.94,Technology,Software - Application,"Automatic Data Processing, Inc.",United States,22.262484446534906,20.601583825553654,-28.0210090193006,0.4200927002244828,-12.914522182879162,-7.728825973786979,-23.460647456389594,-23.459241050343905,industrials,8.333333333333332,91.66666666666666,50.0,66.66666666666666,16.666666666666664,1.93259,43.61902855759028,44.455574570941046,27.802335920779228,28.28360417975828,4.605763768372456,Low Risk,True,Highly Profitable,6.694,High Risk,49.32310350968689,54.03326172512429,23.68893392141572,28.953119267301847,38.99960460588218
AEP,120.8,64660086784,112346988544.0,17.686678,19.103617,29.47779666666667,2.1271725,3.0418255,5.285,12.829,0.17228001,0.25885,0.48422,0.12923001,0.03209,0.109,0.006,152.132,0.686,0.419,-4280337408.0,6858200064.0,0.623,3.15,Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc.",United States,14.441505886107477,18.237465128514792,-29.560453430684625,0.5928566145896522,4.200813192238573,1.859394967919448,8.224473176717972,24.797725352593925,utilities,40.0,100.0,80.0,100.0,80.0,29.47779666666667,38.488866593764136,39.21289291807919,34.27603772178203,49.14535372531067,1.19292785698295,High Risk,True,Highly Profitable,6.246,High Risk,35.662018299488885,47.33950350961916,35.68117007229749,52.7291053327078,42.852949303528334
AIG,76.72,42503176192,39668273152.0,13.798561,9.765523,0.4272000309597522,1.0167515,1.5672262,1.463,4.771,0.120170005,0.15235,0.34012002,0.07688,0.017819999,-0.041,0.323,22.48,0.617,0.214,9084624896.0,2803000064.0,0.598,2.35,Financial Services,Insurance - Diversified,"American International Group, Inc.",United States,29.72786648434716,27.88185532061013,-26.449617389046328,0.5898569205197148,-1.5147628781287947,1.1040174992293483,-0.7099310567091788,5.070240169051199,finance,15.384615384615383,23.07692307692308,7.6923076923076925,23.07692307692308,15.384615384615383,0.4272000309597522,38.57871362700722,69.63201819299935,28.157690577860027,43.0909783730623,0.5486192063139175,High Risk,True,Profitable,6.196,High Risk,35.90127156004322,86.17807567551176,24.347212151711776,45.82897724443422,48.06388415792525
ALL,207.55,54312038400,57896206336.0,5.453232,8.334823,0.0528413953488372,1.8872129,0.80242354,0.855,4.627,0.15191,0.29017,0.31301,0.39518002,0.064899996,0.051,1.032,24.486,0.367,0.238,,,0.235,2.08,Financial Services,Insurance - Property & Casualty,The Allstate Corporation,United States,27.457361577090555,23.358940159005183,-27.34533201584001,0.6837078052627622,-1.6816688532055424,5.312417228656918,1.333441704464322,10.289702294767425,finance,7.6923076923076925,30.76923076923077,30.76923076923077,92.3076923076923,7.6923076923076925,0.0528413953488372,46.26526092264543,80.45761821174327,38.47519327015746,44.43572004282896,2.3412840915088173,Medium Risk,True,Highly Profitable,6.0,Medium Risk,56.36974376781252,100.0,43.45991344330093,47.36156966349906,61.79780671865313
AMT,171.27,80197394432,130053169152.0,27.31579,24.76002,,20.29025,7.670942,12.44,19.329,0.28106,0.45477,0.74285007,0.28839,0.04733,0.077,,418.09,0.59,0.492,4248437504.0,5235500032.0,0.944,3.97,Real Estate,REIT - Specialty,American Tower Corporation,United States,25.54112773233845,21.888236664707865,-45.3442102771305,-0.0680070059103178,0.551871327012976,-2.893743434675156,-15.519349332673404,-6.571402553790517,real_estate,40.0,80.0,80.0,100.0,40.0,,43.18850417202008,42.155716366177984,40.33268112313583,42.12505678963075,2.5350827723032765,Medium Risk,True,Highly Profitable,6.888,High Risk,48.17666206050576,51.09684563657043,46.900824635234486,44.728123355943374,47.72561392206351
APD,283.12,63038365696,82624569344.0,,20.187485,,4.0903835,5.163566,6.768,97.228,-0.02733,0.24280001,0.31628,-0.01667,-0.01105,0.058,0.097,101.991,1.459,1.008,-6148412416.0,3345799936.0,0.888,2.56,Basic Materials,Specialty Chemicals,"Air Products and Chemicals, Inc.",United States,27.5893269861953,31.74886616071088,-31.765681570303595,0.2354664638944357,8.38373546977409,10.19998379774647,-0.5781129822131525,-11.416698653864144,materials,,42.85714285714285,50.0,28.57142857142857,42.85714285714285,,27.030249824559665,44.47222771661005,28.80930875526506,54.35955295419726,1.1866938584526916,High Risk,False,Unprofitable,7.776,High Risk,5.148919263068123,54.05452415111481,25.554304987288152,58.67169072985098,35.857359782830514
AVB,173.83,24613449728,33646094336.0,23.45884,32.294804,,2.070662,8.093364,11.063,18.392,0.34569,0.29693002,0.62786,0.088879995,0.026700001,0.03,-0.408,78.826,0.231,0.123,,,0.754,4.1,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",United States,26.129335188799047,20.09711171872744,-38.3561503439197,0.1626459688971596,-5.568231148436897,0.1426789213540447,-5.18731005104367,-18.79510255357847,real_estate,20.0,100.0,40.0,75.0,20.0,,55.89118232922276,45.860896700338216,22.6871092807931,38.85955775644376,0.6679536013531381,High Risk,True,Highly Profitable,6.508,High Risk,82.00256656934584,55.82755082599854,14.213210800759638,41.0064575704291,48.26244644163328
BK,124.32,86694445056,-24630501376.0,16.8,13.302189,0.5454545454545454,2.167364,4.310583,-1.225,,0.2759,0.36638,0.0,0.12898,0.012569999,0.078,0.308,,,,,,1.094,1.71,Financial Services,Banks - Diversified,The Bank of New York Mellon Corporation,United States,22.186617545193933,19.649342303202182,-40.45244335254085,1.0515152938364174,4.015562306708742,15.17310807146881,21.72524925860557,46.917684061275125,finance,46.15384615384615,69.23076923076923,38.46153846153847,53.84615384615385,46.15384615384615,0.5454545454545454,40.40270897053839,63.85276307826865,37.81428657463147,54.41867714514329,3.81473831372549,Low Risk,True,Highly Profitable,5.188000000000001,Medium Risk,40.75838055322591,78.79923046513905,42.23561405323343,58.73907414546488,55.13307480426582
BKR,58.92,58226892800,61389893632.0,22.66154,20.321655,,3.0870793,2.0995526,2.214,13.076,0.09332,0.1251,0.23676,0.14552,0.05538,0.003,-0.256,35.255,1.357,0.746,1127374976.0,3809999872.0,0.859,1.56,Energy,Oil & Gas Equipment & Services,Baker Hughes Company,United States,34.1998537232783,32.53323606452986,-46.52737190516672,0.7242720208446428,17.370512496970857,24.592930911953825,36.75197238881434,28.096109377511347,energy,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,100.0,,36.05639685895633,50.89707505551465,27.91202536156492,70.28618349808076,1.5257867276336312,High Risk,True,Profitable,6.718,High Risk,29.18460558761933,62.257649480054575,23.892128587712584,76.82315712788245,48.03938519581723
CCI,80.88,35221540864,64649801728.0,32.095238,26.958021,,-21.51636,8.260211,15.162,23.289,0.10413,0.4916,0.74085,,0.04058,-0.35,,,0.255,0.098,1392249984.0,3056999936.0,0.984,5.25,Real Estate,REIT - Specialty,Crown Castle Inc.,United States,36.9672623584712,27.04834199252647,-55.476985794466806,-0.311513915349805,-4.306672425722402,-6.802900202972717,-20.80515298628384,-5.754385210027612,real_estate,60.0,20.0,20.0,,60.0,,38.84037860247845,41.90757462803854,21.87762345642896,36.22471022815957,2.83806431372549,Medium Risk,True,Profitable,4.968,Medium Risk,36.59805804585836,50.78002289045273,12.713675378064965,38.00354077382179,34.52382427204946
CDNS,283.52,77256359936,76723527680.0,73.07216,35.210384,3.5300560386473427,14.843978,14.821006,14.719,40.752,0.20354,0.35089,0.85545,0.21736,0.11089,0.101,0.207,47.685,3.048,2.685,1384099840.0,1616644992.0,1.005,,Technology,Software - Application,"Cadence Design Systems, Inc.",United States,41.00079097873848,32.675073134769924,-29.58518066995995,0.5290242932613023,-11.066499413484287,-12.615201619176386,-19.468275015685265,-6.4012460513079406,tech,87.5,42.10526315789473,31.57894736842105,36.84210526315789,10.526315789473683,3.5300560386473427,42.43461951266991,3.920430038179292,32.12095923281266,28.79750725397977,4.313703558339449,Low Risk,True,Highly Profitable,7.01,High Risk,46.16914599324253,2.27874472431658,31.68898585408052,29.538810908598744,27.418921870059595
CHTR,231.14,29911681024,132226613248.0,6.381557,4.6745663,2.658982083333333,1.8232014,0.5460927,2.414,5.994,0.09105,0.24741,0.55309,0.28667998,0.054840002,-0.023,0.024,482.329,0.387,0.312,2734625024.0,16076999680.0,1.047,,Communication Services,Telecom Services,"Charter Communications, Inc.",United States,45.62442155463658,37.60136251688115,-77.73352390541723,-0.415201700137872,10.218869863001244,6.095657184472558,-9.911527929464992,-34.578698313988234,telecom,100.0,100.0,100.0,100.0,100.0,2.658982083333333,31.402744076293303,53.483234443482594,22.14817486994428,53.72682569975581,1.6389261306531298,High Risk,True,Profitable,7.093999999999999,High Risk,16.79241453187723,65.55960958292796,13.214859482857689,57.950576024109054,38.37936490544298
CI,292.05,78014095360,102138888192.0,13.173206,8.7362795,,1.8998086,0.28379083,0.372,7.917,0.02167,0.03346,0.092980005,0.1513,0.04034,0.104,-0.112,75.137,0.849,0.666,10602749952.0,9601000448.0,0.283,2.14,Healthcare,Healthcare Plans,The Cigna Group,United States,27.064373095959592,41.207790557546616,-32.10261188001605,0.3665124727160305,2.867100146477064,14.55282248353269,7.37499342222705,3.7680021044427248,healthcare,6.666666666666667,20.0,73.33333333333333,53.333333333333336,6.666666666666667,,32.74658992812625,59.87540184670611,30.78580173669128,51.766381922418326,0.7292252511211359,High Risk,True,Marginally Profitable,6.0,Medium Risk,20.370935604059724,73.72100977911471,29.21566773034065,55.71627233686509,44.75597136259505
