symbol,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,operating_cash_flow,beta,dividend_yield,sector,industry,company_name,country,volatility_30d,volatility_90d,max_drawdown,sharpe_ratio,return_1m,return_3m,return_6m,return_1y,sector_category,pe_ratio_sector_rank,profit_margin_sector_rank,revenue_growth_sector_rank,roe_sector_rank,beta_sector_rank,peg_ratio_calculated,quality_score_raw,value_score_raw,growth_score_raw,momentum_score_raw,altman_z_score,financial_health,is_profitable,profitability_status,risk_score,risk_category,quality_score,value_score,growth_score,momentum_score,composite_score,rank_score,rank
MPC,203.0,61022306304,98226003968.0,15.355521,14.831852,0.043747923076923,3.573881,0.457346,0.736,10.099,0.03033,0.07023,0.104779996,0.24292,,-0.005,3.51,143.175,,,,,0.708,1.88,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum Corporation,United States,34.3485949321772,32.34052628288947,-44.74918348153592,1.0529667274338832,14.643921388845316,5.864520741278789,27.55401013294323,36.581046991375054,energy,28.57142857142857,14.285714285714285,57.14285714285714,100.0,71.42857142857143,0.043747923076923,37.557583841119865,72.81941846435726,59.02497798974194,61.31390874439232,1.453342971784754,High Risk,True,Marginally Profitable,6.416,High Risk,33.18210964779933,90.24768893170835,81.52744864686325,66.59752005689337,67.88869182081608,66.83530055346759,1
ALL,207.55,54312038400,57896206336.0,5.453232,8.334823,0.0528413953488372,1.8872129,0.80242354,0.855,4.627,0.15191,0.29017,0.31301,0.39518002,0.064899996,0.051,1.032,24.486,0.367,0.238,,,0.235,2.08,Financial Services,Insurance - Property & Casualty,The Allstate Corporation,United States,27.457361577090555,23.358940159005183,-27.34533201584001,0.6837078052627622,-1.6816688532055424,5.312417228656918,1.333441704464322,10.289702294767425,finance,7.6923076923076925,30.76923076923077,30.76923076923077,92.3076923076923,7.6923076923076925,0.0528413953488372,46.26526092264543,80.45761821174327,38.47519327015746,44.43572004282896,2.3412840915088173,Medium Risk,True,Highly Profitable,6.0,Medium Risk,56.36974376781252,100.0,43.45991344330093,47.36156966349906,61.79780671865313,60.60950890734349,2
KMI,30.5,67855187968,101089501184.0,22.262774,20.824657,0.44525548,2.1777937,4.0063286,5.969,14.098,0.18043,0.30257,0.49306,0.09826,0.040960003,0.131,0.5,98.626,0.637,0.015,,,0.691,3.84,Energy,Oil & Gas Midstream,"Kinder Morgan, Inc.",United States,22.531477400074465,21.232240593046605,-20.307859220477027,0.912593652844616,12.929736077290157,17.901755418717258,15.821381041773463,18.805815657036383,energy,57.14285714285714,85.71428571428571,100.0,28.57142857142857,57.14285714285714,0.44525548,46.251799452427,60.80653697964516,38.57562496746012,62.28797564014664,1.1369192862240969,High Risk,True,Highly Profitable,6.382,High Risk,56.33389727933803,74.90986576133021,43.645958563714224,67.70765709931442,60.64934467592422,59.58340300048441,3
BK,124.32,86694445056,-24630501376.0,16.8,13.302189,0.5454545454545454,2.167364,4.310583,-1.225,,0.2759,0.36638,0.0,0.12898,0.012569999,0.078,0.308,,,,,,1.094,1.71,Financial Services,Banks - Diversified,The Bank of New York Mellon Corporation,United States,22.186617545193933,19.649342303202182,-40.45244335254085,1.0515152938364174,4.015562306708742,15.17310807146881,21.72524925860557,46.917684061275125,finance,46.15384615384615,69.23076923076923,38.46153846153847,53.84615384615385,46.15384615384615,0.5454545454545454,40.40270897053839,63.85276307826865,37.81428657463147,54.41867714514329,3.81473831372549,Low Risk,True,Highly Profitable,5.188000000000001,Medium Risk,40.75838055322591,78.79923046513905,42.23561405323343,58.73907414546488,55.13307480426582,53.7694670541622,4
DG,146.65,32280430592,47548231680.0,25.328152,20.595608,0.5782683105022831,3.9432642,0.7664345,1.129,15.105,0.03033,0.03999,0.30407,0.16450001,0.04191,0.046,0.438,201.663,1.171,0.183,1971688448.0,3619726080.0,0.255,1.61,Consumer Defensive,Discount Stores,Dollar General Corporation,United States,31.36216662888464,39.88091581099263,-72.60815010276286,-0.0062222189809535,1.840273539225268,53.50784980727372,27.37815824368948,106.42167814932884,consumer,37.5,37.5,62.5,33.33333333333333,12.5,0.5782683105022831,30.716936449654533,59.279398648622575,44.03313922638306,64.77076097304285,1.1304255719637732,High Risk,True,Marginally Profitable,6.0,Medium Risk,14.966180488707092,72.96004400476501,53.75575382485373,70.53726970440486,53.05481200568268,51.185427520792445,5
FCX,60.67,87117905920,103369998336.0,39.914474,18.253313,0.8367814255765199,4.494407,3.3616786,3.989,11.733,0.08505,0.14397,0.37063,0.13946,0.07192,-0.015,0.477,33.768,2.291,0.912,1371124992.0,5609999872.0,1.434,0.99,Basic Materials,Copper,Freeport-McMoRan Inc.,United States,48.492968462193545,40.92856437083977,-51.256968298280114,0.507919414245891,12.174787630518004,57.36395412817439,45.782954726488455,65.58285214428363,materials,80.0,57.14285714285714,28.57142857142857,71.42857142857143,100.0,0.8367814255765199,35.616304208559995,43.16197259314772,37.20118745303527,76.70561997546815,2.493006068387708,Medium Risk,True,Profitable,7.868,High Risk,28.01268484908532,52.38161483145471,41.09987600472756,84.13934275751296,51.408379610695135,49.72316969231627,6
EOG,113.7,62079447040,66290446336.0,11.290963,11.790691,,2.0415492,2.7403307,2.926,5.637,0.24410999,0.33223,0.62289,0.18476999,0.09086,-0.024,-0.085,26.835,1.624,1.29,2926749952.0,10195000320.0,0.472,3.59,Energy,Oil & Gas E&P,"EOG Resources, Inc.",United States,28.37325644238623,23.78953663581643,-33.41954697622649,0.6297398622580304,8.72773063507315,9.317970359881356,-0.3388358379553091,-6.919314923915342,energy,14.285714285714285,100.0,42.85714285714285,85.71428571428571,28.57142857142857,,45.10168469600894,59.47691670441061,24.26817098456889,54.41165997404563,2.6814598347085123,Medium Risk,True,Highly Profitable,6.0,Medium Risk,53.27126186943858,73.21223137683633,17.14205520904822,58.73107672598324,50.58915629532659,49.05090651971827,7
AVB,173.83,24613449728,33646094336.0,23.45884,32.294804,,2.070662,8.093364,11.063,18.392,0.34569,0.29693002,0.62786,0.088879995,0.026700001,0.03,-0.408,78.826,0.231,0.123,,,0.754,4.1,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",United States,26.129335188799047,20.09711171872744,-38.3561503439197,0.1626459688971596,-5.568231148436897,0.1426789213540447,-5.18731005104367,-18.79510255357847,real_estate,20.0,100.0,40.0,75.0,20.0,,55.89118232922276,45.860896700338216,22.6871092807931,38.85955775644376,0.6679536013531381,High Risk,True,Highly Profitable,6.508,High Risk,82.00256656934584,55.82755082599854,14.213210800759638,41.0064575704291,48.26244644163328,48.24699066597522,8
ITW,293.57,85575655424,93107511296.0,28.012407,24.229284,3.837316027397261,26.352783,5.3338103,5.803,20.206,0.1911,0.26509002,0.44097,0.93718004,0.16882999,0.041,0.073,278.022,1.21,0.796,,,1.159,2.19,Industrials,Specialty Industrial Machinery,Illinois Tool Works Inc.,United States,27.21753541340721,22.788071076170827,-28.045308116253885,0.4664518371086243,15.701735020506112,20.944130190205623,15.68457203439666,17.973262040283224,industrials,25.0,83.33333333333334,37.5,91.66666666666666,50.0,3.837316027397261,47.05710943610143,28.37756839689244,31.11402356472736,65.57604571528451,5.77429397429257,Low Risk,True,Highly Profitable,7.318,High Risk,58.47835361135498,33.50516312166788,29.8236836372632,71.4550469391672,48.31556182736332,47.89910750705789,9
AMT,171.27,80197394432,130053169152.0,27.31579,24.76002,,20.29025,7.670942,12.44,19.329,0.28106,0.45477,0.74285007,0.28839,0.04733,0.077,,418.09,0.59,0.492,4248437504.0,5235500032.0,0.944,3.97,Real Estate,REIT - Specialty,American Tower Corporation,United States,25.54112773233845,21.888236664707865,-45.3442102771305,-0.0680070059103178,0.551871327012976,-2.893743434675156,-15.519349332673404,-6.571402553790517,real_estate,40.0,80.0,80.0,100.0,40.0,,43.18850417202008,42.155716366177984,40.33268112313583,42.12505678963075,2.5350827723032765,Medium Risk,True,Highly Profitable,6.888,High Risk,48.17666206050576,51.09684563657043,46.900824635234486,44.728123355943374,47.72561392206351,47.70692686464417,10
